titre,date_de_sortie,entrees_premiere_semaine
Barbie,19/07/2023,1 680 490
Un hiver en été,26/07/2023,1 634
Juniors,26/07/2023,6 943
Les Herbes sèches,12/07/2023,32 179
"Ruby, l'ado Kraken",28/06/2023,88 243
Rendez-vous à Tokyo,26/07/2023,27 335
The First Slam Dunk,26/07/2023,33 488
Astérix et Obélix: Mission Cléopatre (Rep. 2023),05/07/2023,183 334
Spider-Man : Across The Spider-Verse,31/05/2023,550 808
Sur la branche,26/07/2023,36 931
Les Vengeances de Maître Poutifard,28/06/2023,180 735
La Maison du mal,19/07/2023,96 861
Insidious: The Red Door,05/07/2023,306 107
Les Algues vertes,12/07/2023,125 566
La Main,26/07/2023,187 507
Miraculous - le film,05/07/2023,660 421
Indiana Jones et le Cadran de la Destinée,28/06/2023,1 089 875
Le Manoir hanté,26/07/2023,288 762
Elémentaire,21/06/2023,426 818
Les Déguns 2,26/07/2023,307 587
Mission: Impossible – Dead Reckoning Partie 1,12/07/2023,930 141
Oppenheimer,19/07/2023,1 138 907
